experiment_name,control_visitors,control_conversions,variant_visitors,variant_conversions
Cart Abandonment Recovery_Exp_1,4720,388,3529,294
Cart Abandonment Recovery_Exp_2,2378,189,2100,186
Cart Abandonment Recovery_Exp_3,4303,369,3264,298
Cart Abandonment Recovery_Exp_4,3547,306,3177,325
Cart Abandonment Recovery_Exp_5,2015,188,2787,261
Cart Abandonment Recovery_Exp_6,2788,264,3720,360
Cart Abandonment Recovery_Exp_7,1759,170,3616,328
Cart Abandonment Recovery_Exp_8,1317,129,3853,361
Cart Abandonment Recovery_Exp_9,3798,333,1216,123
Cart Abandonment Recovery_Exp_10,1318,133,2544,223
Cart Abandonment Recovery_Exp_11,4508,402,1532,141
Cart Abandonment Recovery_Exp_12,4096,369,1637,141
Cart Abandonment Recovery_Exp_13,3531,345,4455,420
Cart Abandonment Recovery_Exp_14,1849,200,4976,436
Cart Abandonment Recovery_Exp_15,4901,438,3733,362
Cart Abandonment Recovery_Exp_16,3847,320,3331,295
Cart Abandonment Recovery_Exp_17,2828,248,2574,226
Cart Abandonment Recovery_Exp_18,4573,411,1924,164
Cart Abandonment Recovery_Exp_19,1590,146,1137,110
Cart Abandonment Recovery_Exp_20,3421,300,4362,425
