experiment_name,control_visitors,control_conversions,variant_visitors,variant_conversions
E-commerce Checkout Optimization_Exp_1,4020,605,2824,423
E-commerce Checkout Optimization_Exp_2,2159,308,3794,608
E-commerce Checkout Optimization_Exp_3,2055,327,1855,271
E-commerce Checkout Optimization_Exp_4,3003,429,1104,163
E-commerce Checkout Optimization_Exp_5,4998,759,1572,205
E-commerce Checkout Optimization_Exp_6,2684,380,1843,294
E-commerce Checkout Optimization_Exp_7,4088,629,4046,635
E-commerce Checkout Optimization_Exp_8,2579,396,4095,650
E-commerce Checkout Optimization_Exp_9,1487,231,4977,810
E-commerce Checkout Optimization_Exp_10,4636,710,2884,467
E-commerce Checkout Optimization_Exp_11,3784,557,4556,774
E-commerce Checkout Optimization_Exp_12,2098,311,1812,286
E-commerce Checkout Optimization_Exp_13,4520,630,1728,279
E-commerce Checkout Optimization_Exp_14,4606,668,1548,246
E-commerce Checkout Optimization_Exp_15,3247,483,4789,791
E-commerce Checkout Optimization_Exp_16,4416,698,3452,562
E-commerce Checkout Optimization_Exp_17,2926,429,4199,696
E-commerce Checkout Optimization_Exp_18,4935,744,3998,625
E-commerce Checkout Optimization_Exp_19,1419,191,3810,604
E-commerce Checkout Optimization_Exp_20,4714,721,4822,730
