experiment_name,control_visitors,control_conversions,variant_visitors,variant_conversions
EdTech Course Enrollment_Exp_1,4451,363,4464,352
EdTech Course Enrollment_Exp_2,4913,393,4533,387
EdTech Course Enrollment_Exp_3,1676,142,4101,356
EdTech Course Enrollment_Exp_4,1033,65,1326,102
EdTech Course Enrollment_Exp_5,3972,319,1144,101
EdTech Course Enrollment_Exp_6,2531,206,2375,196
EdTech Course Enrollment_Exp_7,2982,247,3191,285
EdTech Course Enrollment_Exp_8,1488,120,2586,211
EdTech Course Enrollment_Exp_9,3602,264,4104,361
EdTech Course Enrollment_Exp_10,1229,78,1589,131
EdTech Course Enrollment_Exp_11,4281,335,2390,202
EdTech Course Enrollment_Exp_12,1534,131,3801,285
EdTech Course Enrollment_Exp_13,1308,100,1573,132
EdTech Course Enrollment_Exp_14,4986,409,2821,234
EdTech Course Enrollment_Exp_15,2091,171,4984,393
EdTech Course Enrollment_Exp_16,1332,108,3581,304
EdTech Course Enrollment_Exp_17,1841,119,3827,311
EdTech Course Enrollment_Exp_18,4801,387,4183,352
EdTech Course Enrollment_Exp_19,3790,293,1771,159
EdTech Course Enrollment_Exp_20,1322,110,3250,243
