experiment_name,control_visitors,control_conversions,variant_visitors,variant_conversions
Email Subject Line CTR_Exp_1,3064,559,3393,744
Email Subject Line CTR_Exp_2,3493,688,1115,244
Email Subject Line CTR_Exp_3,2084,418,3074,703
Email Subject Line CTR_Exp_4,2876,566,3591,774
Email Subject Line CTR_Exp_5,3183,644,3205,680
Email Subject Line CTR_Exp_6,4734,955,2693,605
Email Subject Line CTR_Exp_7,3961,817,3690,839
Email Subject Line CTR_Exp_8,4151,830,2326,516
Email Subject Line CTR_Exp_9,1739,317,4597,1038
Email Subject Line CTR_Exp_10,1942,365,1488,344
Email Subject Line CTR_Exp_11,1043,195,2892,647
Email Subject Line CTR_Exp_12,1127,221,4615,1046
Email Subject Line CTR_Exp_13,2676,526,4078,899
Email Subject Line CTR_Exp_14,3892,719,2100,459
Email Subject Line CTR_Exp_15,1982,424,4251,945
Email Subject Line CTR_Exp_16,3957,738,1242,278
Email Subject Line CTR_Exp_17,4951,1036,1300,286
Email Subject Line CTR_Exp_18,3780,808,1956,408
Email Subject Line CTR_Exp_19,3171,628,3961,845
Email Subject Line CTR_Exp_20,2828,567,2980,677
