experiment_name,control_visitors,control_conversions,variant_visitors,variant_conversions
Landing Page Hero Image_Exp_1,3746,441,3841,468
Landing Page Hero Image_Exp_2,4444,567,2143,257
Landing Page Hero Image_Exp_3,1243,156,4918,595
Landing Page Hero Image_Exp_4,1550,202,4923,642
Landing Page Hero Image_Exp_5,2335,288,1330,149
Landing Page Hero Image_Exp_6,3460,438,3734,480
Landing Page Hero Image_Exp_7,3941,454,2119,243
Landing Page Hero Image_Exp_8,2880,334,1145,141
Landing Page Hero Image_Exp_9,1611,182,1298,156
Landing Page Hero Image_Exp_10,1844,217,2946,372
Landing Page Hero Image_Exp_11,2864,336,3665,406
Landing Page Hero Image_Exp_12,3562,475,4895,595
Landing Page Hero Image_Exp_13,1494,190,1798,237
Landing Page Hero Image_Exp_14,1415,149,1940,195
Landing Page Hero Image_Exp_15,1634,191,3867,461
Landing Page Hero Image_Exp_16,3765,454,2464,300
Landing Page Hero Image_Exp_17,1852,198,2202,269
Landing Page Hero Image_Exp_18,4129,507,3996,501
Landing Page Hero Image_Exp_19,1969,269,2640,318
Landing Page Hero Image_Exp_20,4684,550,3858,502
