experiment_name,control_visitors,control_conversions,variant_visitors,variant_conversions
Mobile App Onboarding Flow_Exp_1,2355,1411,4460,2682
Mobile App Onboarding Flow_Exp_2,1571,961,1393,851
Mobile App Onboarding Flow_Exp_3,2068,1245,2753,1615
Mobile App Onboarding Flow_Exp_4,3692,2243,1268,773
Mobile App Onboarding Flow_Exp_5,4767,2873,1625,960
Mobile App Onboarding Flow_Exp_6,3699,2289,1541,909
Mobile App Onboarding Flow_Exp_7,4887,2933,2681,1612
Mobile App Onboarding Flow_Exp_8,3785,2267,1138,669
Mobile App Onboarding Flow_Exp_9,4068,2457,3214,1928
Mobile App Onboarding Flow_Exp_10,1672,1012,3097,1855
Mobile App Onboarding Flow_Exp_11,2067,1265,2432,1471
Mobile App Onboarding Flow_Exp_12,2491,1474,1880,1151
Mobile App Onboarding Flow_Exp_13,3788,2231,2003,1173
Mobile App Onboarding Flow_Exp_14,4075,2429,4836,2831
Mobile App Onboarding Flow_Exp_15,1254,740,2735,1630
Mobile App Onboarding Flow_Exp_16,4402,2600,2247,1351
Mobile App Onboarding Flow_Exp_17,1515,912,1749,1068
Mobile App Onboarding Flow_Exp_18,4182,2493,2734,1582
Mobile App Onboarding Flow_Exp_19,4484,2659,3210,1909
Mobile App Onboarding Flow_Exp_20,1279,776,2610,1627
