experiment_name,control_visitors,control_conversions,variant_visitors,variant_conversions
Premium Upsell Modal_Exp_1,2930,94,3867,127
Premium Upsell Modal_Exp_2,4862,150,4222,137
Premium Upsell Modal_Exp_3,1728,57,3887,92
Premium Upsell Modal_Exp_4,3846,111,1561,48
Premium Upsell Modal_Exp_5,3778,107,2691,67
Premium Upsell Modal_Exp_6,4901,134,1970,54
Premium Upsell Modal_Exp_7,4731,134,2651,82
Premium Upsell Modal_Exp_8,2305,62,2364,81
Premium Upsell Modal_Exp_9,2960,74,2943,79
Premium Upsell Modal_Exp_10,2739,80,3895,127
Premium Upsell Modal_Exp_11,1028,27,1162,33
Premium Upsell Modal_Exp_12,4079,110,4330,137
Premium Upsell Modal_Exp_13,4481,138,2093,70
Premium Upsell Modal_Exp_14,1229,39,4969,143
Premium Upsell Modal_Exp_15,4080,116,3096,79
Premium Upsell Modal_Exp_16,2439,74,3286,88
Premium Upsell Modal_Exp_17,4862,110,4623,146
Premium Upsell Modal_Exp_18,3751,122,3049,95
Premium Upsell Modal_Exp_19,3655,98,1480,50
Premium Upsell Modal_Exp_20,4185,133,3602,100
